,Avg Filter HL,Avg Noise HL,Improv HL
P376,0.2331986470822736,0.2855803534285756,18.34
P378,0.2148670034664833,0.5640602294299466,61.91
P379,0.1781543447853865,0.23785890889251282,25.1
P380,0.4064166259955127,0.6747427161784758,39.77
P383,0.39278516219979703,0.6858488251324234,42.73
P384,0.29581264234932036,0.6051429915372868,51.12
P385,0.5026097490906203,0.7578722268020603,33.68
P386,0.3467911899039726,0.7333291699886917,52.71
P387,0.29357464798167365,0.3214576824885831,8.67
P388,0.43442416907303405,0.6112049438913303,28.92
P389,0.20964242490633084,0.6105614251518569,65.66
P390,0.342970139814336,0.6576497781499842,47.85
P391,0.42837460168156505,0.6272916792147577,31.71
P392,0.4201647947085586,0.7590487929275065,44.65
P395,0.33725488008985993,0.7075445580877422,52.33
P396,0.17776412314836143,0.47288200578961825,62.41
P397,0.3805901589124552,0.7939839536729558,52.07
P398,0.22181843399143625,0.6064284198263459,63.42
P399,0.1504037186839584,0.17053032136890675,11.8
P400,0.03935627603251329,0.18031876422317739,78.17
P401,0.23738578620729542,0.623574942567113,61.93
P404,0.4398429221061432,0.8397997872502332,47.63
P405,0.21481473630683406,0.28111256702314646,23.58
P406,0.21904791773715754,0.4066436489158982,46.13
P407,0.38339916384935696,0.8403055185551526,54.37
P409,0.20991496004480215,0.7189447536192832,70.8
P410,0.20575603436287565,0.5843743930603285,64.79
P411,0.03794315354168815,0.45356858983770215,91.63
P412,0.2602102755223411,0.6565416665864914,60.37
P413,0.20327020824430733,0.5356595985415034,62.05
P414,0.20874593650005868,0.5969546950047113,65.03
P415,0.09656599114517081,0.16131910387819332,40.14
P416,0.3021844289487048,0.6118423208956694,50.61
P417,0.27221473579705247,0.6421074474199309,57.61
P418,0.39775976835341315,0.7827154177927661,49.18
P419,0.29794412557742356,0.4792795432597725,37.84
P420,0.36011292392321026,0.7599119564326182,52.61
P421,0.32305325673821467,0.7763467150651584,58.39
P422,0.43442001326806856,0.6638128109993975,34.56
P424,0.2739679994298441,0.5897601066211547,53.55
P425,0.38357804273123064,0.6579795760426661,41.7
P426,0.2221685301338472,0.29634514178490734,25.03
P428,0.45302437909780247,0.653642561839689,30.69
P429,0.20800721800105348,0.5646315548252963,63.16
P431,0.30423841857381384,0.7690395078019197,60.44
P432,0.38602135895227224,0.6127981957273558,37.01
P433,0.1769015279429524,0.25039201337737826,29.35
P435,0.3954183280530723,0.6988209934081282,43.42
P436,0.34454942944239514,0.8376877962054985,58.87
P437,0.42470630341358484,0.6881859927247377,38.29
P439,0.34469345842526344,0.7371240927386871,53.24
P440,0.4380675729860056,0.7311932389314287,40.09
P441,0.18492010491608818,0.33890823118674196,45.44
P442,0.3211908987440996,0.7036285020467088,54.35
P443,0.33932619049742213,0.7904195292431174,57.07
P444,0.4120124008758787,0.7387909959481584,44.23
P446,0.3527831296881422,0.6777438175450916,47.95
P447,0.4021568279537664,0.5934272406841654,32.23
P448,0.4009717372315134,0.45241858305326055,11.37
P450,0.15742971999852734,0.20969067906437952,24.92
P451,0.2572870900105775,0.3565420702998138,27.84
P452,0.29137970159314874,0.6084041150718233,52.11
P453,0.31511774705312945,0.5784576757054509,45.52
P454,0.21537217413226023,0.6136561087038508,64.9
P455,0.03444831883553272,0.39943855540079753,91.38
P456,0.23241143595590108,0.2231486636337104,-4.15
P457,0.20966828428939788,0.5734229696598947,63.44
P458,0.21819308649683716,0.5973525233877048,63.47
P459,0.42490147805116096,0.5475422499143052,22.4
P460,0.3262605268163362,0.6778807345159168,51.87
P462,0.19434117621762448,0.4966559335995083,60.87
P463,0.42655162351898784,0.6239308397316297,31.63
P464,0.24967332987481403,0.5798437906183772,56.94
P465,0.22512361209327544,0.37902325811904,40.6
P466,0.2765923080340526,0.6407136594146184,56.83
P469,0.14176887778347608,0.1537119515796776,7.77
P470,0.4274025654699831,0.7683228018623682,44.37
P471,0.23358519016821716,0.5408925114915991,56.81
P472,0.46281031472228734,0.5014271673748449,7.7
P473,0.1299310366445322,0.14660563038946633,11.37
P474,0.35054089127934673,0.6708034193839572,47.74
P475,0.362772202174509,0.771825001417728,53.0
P476,0.3555538324555994,0.5916730329157567,39.91
P478,0.4013678686122383,0.774474391999031,48.18
P479,0.42097281906209816,0.7229577603161026,41.77
P480,0.3259248149410484,0.684206666388526,52.36
P481,0.2046662185540307,0.5569611994256704,63.25
P482,0.4230240764652491,0.47802668392856507,11.51
P484,0.30214428483520894,0.640625928386994,52.84
